ID	Site	Polygon	Site_ID	St	At	RH	Slope	DEM	Aspect	Soil	MSI	NDVI	Bt
P6-Sg1	For	P6	P6For	20.3	14.2	50.02213	0	3342	0	1	0.6912	0.53464	33
P6-Sg2	For	P6	P6For	28.9	17.8	50.02213	0	3342	0	1	0.6912	0.53464	39.6
P6-Sg4	For	P6	P6For	29.8	25.2	50.01591	2.86224	3342	270	1	0.90409	0.62307	28.3
P6-Sg5	For	P6	P6For	22.6	18.3	50.01214	2.86224	3343	270	1	1.10276	0.42155	33.1
P6-Sg6	For	P6	P6For	16.3	15.6	49.99955	3.19956	3345	333.43494	3	1.11131	0.38387	32.9
P6-Sg7	For	P6	P6For	20.1	22.4	50.02908	2.86224	3345	270	1	0.82369	0.33084	30.5
P6-Sg8	For	P6	P6For	34.9	27	49.99311	5.71027	3347	270	3	1.19348	0.28475	32.6
P6-Sg9	For	P6	P6For	22.6	23.4	50.03482	5.43775	3344	293.19861	1	0.97779	0.38139	32.2
P6-Sg19	For	P6	P6For	24.3	28.3	50.02078	3.19956	3350	333.43494	3	1.02103	0.32421	34.5
P6-Sg20	For	P6	P6For	24.3	28.3	50.02078	3.19956	3350	333.43494	3	1.02103	0.32421	30.4
P6-Sg21	For	P6	P6For	24.3	28.3	50.02078	3.19956	3350	333.43494	3	1.02103	0.32421	30.4
P6-Sg47	For	P6	P6For	20	17.8	50.02213	0	3342	0	1	0.6912	0.53464	29.5
P6-Sg48	For	P6	P6For	20	17.1	50.02213	0	3342	0	1	0.6912	0.53464	31.8
P6-Sg49	For	P6	P6For	20	17.1	50.02213	0	3342	0	1	0.6912	0.53464	28
P6-Sg50	For	P6	P6For	20	17.1	50.02213	0	3342	0	1	0.6912	0.53464	30.4
P6-Sg58	For	P6	P6For	26.5	17.7	50.11695	13.79726	3358	104.74356	1	1.08977	0.38874	30.4
P6-Sg59	For	P6	P6For	26.5	17.7	50.11695	13.79726	3358	104.74356	1	1.08977	0.38874	28.8
P6-Sg60	For	P6	P6For	24.9	14	50.12033	15.34532	3368	120.06858	1	1.00883	0.46206	35
P6-Sg61	For	P6	P6For	24.9	14	50.12033	15.34532	3368	120.06858	1	1.00883	0.46206	30.4
P6-Sg72	For	P6	P6For	20.6	17.3	50.24272	10.21897	3391	123.69006	1	0.93132	0.53653	30.4
P6-Sg73	For	P6	P6For	26.9	21.9	50.24272	10.21897	3391	123.69006	1	0.93132	0.53653	30.4
P6-Sg77	For	P6	P6For	25.9	17.7	50.28434	12.01674	3392	40.23636	1	0.89826	0.3629	27.6
P6-Sg78	For	P6	P6For	20.9	17.7	50.28434	12.01674	3392	40.23636	1	0.89826	0.3629	34.6
P6-Sg79	For	P6	P6For	20.9	17.7	50.28434	12.01674	3392	40.23636	1	0.89826	0.3629	30.6
P6-I1	For	P6	P6For	20.5	17.1	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	30.7
P6-I2	For	P6	P6For	20.5	17.1	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	32
P6-I3	For	P6	P6For	26.3	25.5	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	32.2
P6-I4	For	P6	P6For	26.3	25.5	44.3	16.50552	3075	62.35403	1	0.88071	0.45992	30.8
P6-I6	For	P6	P6For	18.7	16.4	42.4	19.28903	3410	90	1	0.93357	0.43179	31.7
P6-I11	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	31.3
P6-I12	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	21.6
P6-I13	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	30.2
P6-I14	For	P6	P6For	20.8	17.5	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	30.4
P6-I15	For	P6	P6For	21.8	21.2	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	30.5
P6-I16	For	P6	P6For	19.2	15	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	29.2
P6-I17	For	P6	P6For	19.2	15	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	28.7
P6-I18	For	P6	P6For	21.9	17.9	46.8	2.26362	3659	18.43495	2	1.40752	0.23145	31.6
P6-I27	For	P6	P6For	20.1	17.8	51.6	18.54174	3419	153.43495	1	0.76484	0.62042	26.2
P6-I28	For	P6	P6For	14.1	16.3	50.7	2.02481	3417	45	1	0.75759	0.48727	24.5
P6-I29	For	P6	P6For	24.5	20.5	50.30871	2.02481	3417	45	1	0.75759	0.48727	32.5
